charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	155.0	156.0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
pos	156.0	157.0	1	0	0	4	0	4	0	0	0	1	0	0	3	0	0	0	0	4	1	1	1	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0
pos	157.0	158.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
pos	158.0	159.0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pos	159.0	160.0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	4	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0
pos	160.0	161.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	3	2	1	3	0	2	0	1
pos	161.0	162.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
pos	162.0	163.0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	2	1	0	0	0	0	0	1	1	2	1	1	1	0	2
pos	163.0	164.0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	164.0	165.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	165.0	166.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
pos	166.0	167.0	2	1	1	1	2	1	2	2	2	1	2	2	1	2	2	2	2	1	2	2	4	1	2	1	1	1	2	2	2	0	2	2	1	1	3	1	1	1	0
pos	167.0	168.0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	2
pos	168.0	169.0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	169.0	170.0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	2
pos	170.0	171.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pos	171.0	172.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
pos	172.0	173.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
pos	173.0	174.0	3	5	5	5	3	2	1	0	4	0	3	1	4	1	0	0	0	2	0	4	3	3	3	4	3	5	0	2	4	0	4	3	5	2	6	4	6	4	0
pos	174.0	175.0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
pos	175.0	176.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	2	3	3	2	1	0	0	0	0	0	0	0	0	0	0
pos	176.0	177.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pos	177.0	178.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	178.0	179.0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
pos	179.0	180.0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	1	2	0	3	0	2	4	0	1	1	0	0	0	0	0	0
pos	180.0	181.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3	3	0	0	0	4	0	0	0	1	0	0	0	0	1
pos	181.0	182.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
pos	182.0	183.0	2	3	2	3	3	3	3	3	4	4	4	3	3	2	4	1	2	4	3	3	2	3	2	3	3	3	3	3	4	1	4	3	0	3	3	2	4	5	0
pos	183.0	184.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
pos	184.0	185.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	0	0	0	2
pos	185.0	186.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0
pos	187.0	188.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	1	0	2	0	2	0	0
