min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
561.0	11	8	1	5	4	3	4	4	1	3	2	3	4	1	3	3	1	3	2	3	4	2	7	4	4	3	2	3	7	5	4	1	2	3	1	1	1	4	1
562.0	15	17	5	1	5	4	2	8	0	7	2	8	3	3	4	3	3	4	6	3	1	3	7	7	4	6	8	5	4	5	5	4	3	1	5	1	3	7	6
563.0	10	6	3	2	1	2	0	1	2	4	3	2	2	1	3	4	0	1	0	0	1	1	3	3	4	6	1	1	2	4	1	0	2	3	5	2	2	2	1
564.0	5	5	5	2	6	8	1	2	1	2	3	3	7	3	4	1	2	4	1	3	2	5	4	4	4	6	6	5	7	4	7	4	6	3	5	5	7	5	3
565.0	0	3	1	5	3	4	0	1	4	1	0	3	3	2	0	0	0	3	1	3	2	3	4	3	4	12	2	6	0	1	4	1	2	2	4	2	1	3	2
566.0	7	3	2	8	3	3	2	0	4	0	4	7	3	3	2	4	0	6	2	2	3	2	4	0	0	4	0	2	3	4	5	0	1	0	1	2	2	1	1
567.0	2	1	1	4	1	2	1	1	1	0	4	2	0	0	1	2	0	1	1	1	2	1	1	1	1	5	3	5	3	0	7	5	7	3	2	5	5	1	0
568.0	6	7	9	5	4	6	10	4	6	3	3	2	3	5	5	6	6	5	5	7	4	7	8	4	3	6	5	5	9	3	6	5	5	4	5	4	8	5	2
569.0	4	5	3	3	4	4	2	1	4	4	3	2	0	2	3	4	2	2	4	2	1	2	0	2	2	4	6	3	5	1	5	3	6	2	4	5	4	2	0
570.0	2	5	4	0	2	3	4	1	0	0	1	1	1	4	3	1	2	5	2	0	0	2	2	0	0	4	3	4	6	3	2	1	3	2	4	1	1	3	3
