min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
943.0	1	1	1	1	0	2	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	4	3	3	5	7	10	0	0	2	0	0	1	0	0	3	8
944.0	1	1	2	2	0	0	0	1	0	0	2	2	3	2	0	2	2	0	1	0	1	3	0	6	5	5	8	7	9	2	1	1	0	0	2	2	0	5	10
945.0	1	1	0	0	1	1	1	0	0	0	0	6	2	0	0	0	0	0	0	1	0	2	1	2	3	3	5	11	9	0	3	0	1	0	1	2	0	4	16
946.0	0	2	1	1	1	3	1	2	1	0	1	3	5	1	1	0	0	0	0	0	3	4	0	6	4	2	6	9	8	2	2	3	4	1	4	3	1	4	7
947.0	0	4	0	1	0	2	2	3	2	0	2	5	4	2	3	1	4	0	2	0	0	2	0	4	4	4	7	7	13	0	1	1	2	1	2	11	3	6	13
948.0	1	3	1	1	1	0	0	1	0	0	1	0	1	3	7	0	0	1	0	0	0	3	2	2	1	2	6	10	4	1	2	1	1	0	2	3	0	2	7
949.0	0	3	2	0	3	3	0	0	0	1	2	3	4	1	15	1	1	1	1	1	0	1	1	2	0	0	11	12	7	0	0	1	3	1	1	1	0	4	4
950.0	1	1	2	0	0	1	2	4	0	2	0	1	1	1	28	0	3	2	2	0	0	4	0	4	0	1	6	6	9	0	0	2	1	0	1	5	0	5	18
951.0	1	2	1	1	1	2	1	1	0	1	2	5	3	2	13	7	3	2	0	1	0	2	3	3	2	3	10	8	8	0	0	3	7	4	3	3	1	9	12
952.0	0	2	0	1	1	0	1	0	1	0	0	0	1	1	2	6	3	1	0	0	0	4	1	4	1	2	6	7	4	3	1	2	2	2	2	5	0	1	22
953.0	0	6	4	0	0	3	0	0	5	0	2	4	0	1	2	3	0	1	0	0	1	2	0	7	4	2	8	7	8	0	0	2	4	0	0	1	0	3	10
954.0	3	4	1	2	0	0	2	4	0	2	0	2	0	1	11	3	2	1	1	0	0	2	3	5	3	4	5	7	2	3	5	0	5	0	3	4	0	5	13
955.0	0	9	0	0	1	3	2	0	0	0	2	3	0	0	2	1	0	0	0	0	0	0	1	6	4	0	3	8	4	1	0	3	4	1	4	6	3	9	10
956.0	3	0	1	0	1	1	5	2	1	0	1	0	0	1	3	2	3	2	4	3	2	4	2	3	6	0	2	11	7	4	1	2	5	0	0	8	2	6	8
957.0	5	7	4	4	5	6	4	4	2	3	5	2	6	3	5	0	3	3	5	2	3	7	2	1	8	1	4	8	8	2	6	4	5	4	2	2	5	3	18
