charge	min	max	01026.peak.table	01038.peak.table
neg	516.9755545284595	516.9758130162368	1	0
neg	516.9773639456147	516.9776224342967	0	1
neg	517.0939554572508	517.0942140042285	1	0
neg	517.0944725513356	517.0947310985719	0	1
neg	517.0947310985719	517.0949896459374	0	1
pos	517.1203279148818	517.1205864750458	1	0
neg	517.1410131365315	517.1412717070381	1	0
neg	517.1560104396251	517.1562690176304	1	0
neg	517.1772142654305	517.1774728540377	1	0
neg	517.1774728540377	517.1777314427741	1	0
pos	517.2172970427083	517.2175556513569	0	1
pos	517.2245381337451	517.2247967460142	1	0
neg	517.2741940604449	517.274452697542	1	0
pos	517.2835050774102	517.2837637191627	1	1
pos	517.2884192928229	517.2886779370326	1	0
pos	517.331614668423	517.3318733342303	0	1
pos	517.3373053460612	517.3375640147138	0	1
pos	517.3375640147138	517.3378226834959	2	1
pos	517.3378226834959	517.3380813524072	0	1
pos	517.338340021448	517.338598690618	0	1
neg	517.3388573599174	517.3391160293461	1	0
pos	517.3393746989042	517.3396333685915	1	0
neg	517.3393746989042	517.3396333685915	0	2
pos	517.3435134294225	517.3437721011793	1	0
pos	517.3686051920247	517.3688638763273	0	1
pos	517.4651034109611	517.4653621435128	0	1
pos	517.4658796090044	517.4661383419443	0	1
pos	517.4674320085841	517.4676907423001	1	0
pos	517.4914947976159	517.4917535433634	1	0
pos	517.5898274983679	517.5900862932816	0	1
pos	517.7138050767985	517.714063933701	0	2
pos	517.714322790733	517.7145816478944	0	1
pos	517.7148405051853	517.7150993626055	1	0
pos	517.7153582201553	517.7156170778344	1	0
pos	517.715875935643	517.716134793581	1	0
pos	517.716134793581	517.7163936516484	1	1
pos	517.7163936516484	517.7166525098453	1	0
neg	517.7200176781826	517.7202765381915	1	0
neg	517.7207942585975	517.7210531189946	0	1
neg	517.7215708401773	517.7218297009628	0	1
pos	517.83833018935	517.8385891085152	0	1
pos	517.8385891085152	517.8388480278097	0	1
pos	517.8424729115272	517.8427318327638	1	0
pos	517.8427318327638	517.8429907541297	1	0
neg	517.8981439557202	517.8984029047922	1	0
neg	517.8984029047922	517.8986618539936	0	1
pos	517.9623672912903	517.962626272474	0	2
pos	517.9628852537872	517.96314423523	0	1
pos	517.963921180335	517.9641801622956	1	0
neg	518.1597485026441	518.1600075825183	1	0
neg	518.1602666625222	518.1605257426555	0	1
pos	518.1820298453077	518.1822889363227	0	1
pos	518.2113079497769	518.2115670554309	0	1
neg	518.2527665023741	518.2530256287574	0	1
neg	518.2530256287574	518.2532847552703	1	0
neg	518.2535438819127	518.2538030086847	1	0
pos	518.2750518448968	518.2753109824228	1	0
pos	518.2924143456157	518.2926734918229	1	0
pos	518.296301552329	518.2965607004799	0	1
pos	518.3027802949719	518.303039446362	1	0
pos	518.3126281388911	518.3128872952052	1	0
pos	518.3175521310171	518.3178112897932	0	1
pos	518.3227353311592	518.3229944925268	1	0
pos	518.3232536540241	518.323512815651	1	0
pos	518.323512815651	518.3237719774074	1	1
pos	518.3237719774074	518.3240311392934	1	1
pos	518.324290301309	518.3245494634542	1	0
pos	518.3354343905646	518.3356935582818	0	1
pos	518.3362118941051	518.3364710622111	2	0
pos	518.3364710622111	518.3367302304466	1	0
pos	518.3385444117239	518.3388035809961	0	1
neg	518.3419136223706	518.3421727933274	1	0
pos	518.3600559023023	518.3603150823303	1	0
pos	518.4061919887753	518.4064511918713	1	0
pos	518.4601090229064	518.460368252961	0	2
pos	518.460368252961	518.4606274831451	0	1
pos	518.5858508135024	518.5861101064278	1	0
neg	518.6063353540583	518.606594657226	0	1
neg	518.6960619887866	518.6963213368176	0	1
pos	518.7105856782241	518.710845033517	1	0
pos	518.7419686101408	518.7422279811252	0	1
pos	518.7793193671594	518.7795787568191	1	0
pos	518.8340534588492	518.834312875876	0	2
neg	518.895020026613	518.8952794741231	1	1
pos	518.9588480234695	518.9591075028935	0	1
pos	518.9591075028935	518.9593669824472	0	1
pos	518.9596264621308	518.9598859419441	0	1
pos	518.9598859419441	518.9601454218871	1	0
neg	519.0917184620554	519.0919780079147	0	1
neg	519.1130016534972	519.1132612099981	0	1
neg	519.15011955079	519.1503791258498	0	1
neg	519.1568685445261	519.1571281229604	1	0
neg	519.1630984627715	519.1633580443207	0	1
pos	519.2085272100144	519.208786814278	0	2
pos	519.2095656278477	519.2098252326306	2	0
pos	519.2098252326306	519.2100848375433	2	0
neg	519.2165750025455	519.2168346108331	0	1
pos	519.2788847144849	519.2791443539273	1	0
pos	519.2814811147507	519.2817407554913	1	0
pos	519.3027720866187	519.3030317380047	1	0
pos	519.3165337889819	519.3167934472489	1	0
pos	519.3219866398521	519.3222463008454	0	1
pos	519.3339311799219	519.3341908468875	0	1
pos	519.3365278554209	519.3367875236848	1	0
pos	519.3469146872505	519.347174360708	0	1
pos	519.3528872096193	519.353146886063	0	1
pos	519.3534065626365	519.3536662393398	1	0
pos	519.3536662393398	519.3539259161729	1	1
pos	519.3541855931359	519.3544452702287	1	0
pos	519.3549646248038	519.3552243022862	0	1
pos	519.4591057089849	519.4593654385378	0	1
pos	519.7090255772954	519.7092854318082	1	1
pos	519.7092854318082	519.709545286451	0	1
pos	519.8090791695686	519.8093390741082	1	0
pos	519.8095989787777	519.8098588835772	1	0
neg	519.8956345651601	519.8958945129774	1	1
pos	519.9588057065448	519.9590656859477	0	1
pos	519.9598456249363	519.9601056048591	2	0
pos	519.960365584912	519.9606255650948	1	0
pos	519.9606255650948	519.9608855454076	1	0
neg	519.9668651284799	519.9671251119124	0	1
pos	520.1891984281269	520.1894585227262	2	0
pos	520.1894585227262	520.1897186174555	1	0
pos	520.2058447446569	520.2061048475794	0	1
pos	520.2230118164996	520.2232719280055	1	0
pos	520.2240522633035	520.2243123753296	1	0
pos	520.2243123753296	520.2245724874858	0	1
neg	520.2664522407431	520.2667123739692	1	0
pos	520.2669725073255	520.2672326408118	0	1
pos	520.2672326408118	520.2674927744282	1	0
pos	520.2674927744282	520.2677529081747	0	1
pos	520.2677529081747	520.2680130420512	1	0
neg	520.268793444461	520.2690535788578	1	0
neg	520.2690535788578	520.2693137133846	1	0
neg	520.2703542527926	520.2706143879698	0	1
pos	520.293506792912	520.2937669396655	1	0
neg	520.3153595736425	520.3156197313223	1	0
pos	520.3392946247044	520.3395547943518	0	2
pos	520.3395547943518	520.3398149641292	2	0
pos	520.345798904914	520.3460590778135	0	1
pos	520.3478802917524	520.3481404656926	1	0
pos	520.3504820370082	520.3507422122492	1	0
pos	520.3523032664274	520.352563442579	1	0
pos	520.3538643252888	520.354124502221	0	1
pos	520.4009584692208	520.4012186697	1	0
pos	520.4618489281701	520.4621091590946	0	1
neg	520.6929852398051	520.6932455862977	1	1
pos	520.712251231864	520.7125115879896	0	1
pos	520.739068596643	520.7393289661774	0	1
pos	520.8239559617466	520.8242163737247	0	1
pos	520.8242163737247	520.8244767858329	1	0
pos	520.8377579760069	520.8380183948859	0	1
pos	520.8382788138952	520.8385392330346	1	0
pos	520.8406225908377	520.840883011149	1	0
neg	520.8463518677656	520.8466122909416	0	1
neg	520.8927092443715	520.8929696907262	1	0
neg	520.9096385282913	520.9098989831107	1	0
pos	520.9533967648148	520.9536572415132	1	0
pos	520.9638159343382	520.9640764162461	2	0
neg	521.0349323310272	521.0351928484935	0	1
neg	521.0938125903408	521.0940731372472	1	0
pos	521.10866397192	521.108924526252	0	1
neg	521.1279453443725	521.1282059083452	1	0
neg	521.1472274302515	521.1474880038653	0	1
neg	521.1555658505141	521.155826428297	0	1
neg	521.1727642636625	521.1730248500447	1	0
neg	521.1743277839099	521.1745883710738	0	1
pos	521.2631955603554	521.2634561919532	0	1
neg	521.2793549658496	521.2796156055272	1	0
pos	521.3043769691592	521.3046376213478	1	0
pos	521.3309641637093	521.3312248291913	1	0
pos	521.3312248291913	521.3314854948038	1	0
pos	521.3374808398621	521.3377415086026	0	1
pos	521.3432155822594	521.3434762538673	0	1
pos	521.355727966455	521.355988644319	2	0
pos	521.355988644319	521.3562493223134	1	0
pos	521.3692833882152	521.3695440728569	0	1
pos	521.436544347205	521.4368050654772	1	0
pos	521.466788536293	521.4670492696873	1	0
pos	521.4670492696873	521.467310003212	0	1
pos	521.467310003212	521.4675707368671	1	0
pos	521.7630657329138	521.7633266144467	1	0
pos	521.8319429861798	521.8322039021514	1	0
pos	521.8322039021514	521.8324648182534	0	1
pos	521.8679506234981	521.8682115574735	1	0
pos	521.9556317823061	521.9558927601221	1	0
pos	522.0717798023444	522.0720408382343	1	0
neg	522.1715050108234	522.1717660965759	0	1
neg	522.1835150905531	522.1837761823107	0	1
pos	522.2028362332227	522.2030973346408	1	0
pos	522.2030973346408	522.2033584361895	0	1
pos	522.2038806396786	522.204141741619	0	1
pos	522.204141741619	522.2044028436899	1	1
pos	522.2208525373504	522.2211136477767	1	0
pos	522.2271192236151	522.2273803371747	1	0
pos	522.2835227841354	522.2837839258968	1	1
pos	522.2837839258968	522.2840450677888	0	1
pos	522.2843062098115	522.2845673519646	1	0
pos	522.3206062214341	522.3208673817372	1	0
neg	522.3206062214341	522.3208673817372	1	1
pos	522.3647441664333	522.3650053488054	2	0
pos	522.3778034450147	522.3780646339164	1	0
pos	522.3780646339164	522.3783258229488	0	1
pos	522.3785870121118	522.3788482014053	0	1
pos	522.3788482014053	522.3791093908294	0	1
pos	522.3798929598854	522.3801541498319	1	0
pos	522.4365742390132	522.4368354573004	1	0
neg	522.6902787141928	522.6905400593322	0	1
neg	522.7292205807936	522.7294819454039	1	0
pos	522.7822802761591	522.7825416672993	1	0
pos	522.8588734713961	522.8591349008329	0	1
pos	522.8593963304004	522.8596577600986	1	1
pos	522.8596577600986	522.8599191899275	1	0
neg	522.9140379786405	522.9142994356596	0	1
neg	522.9142994356596	522.9145608928094	1	0
pos	522.9851591061619	522.9854205987415	0	1
pos	523.0487056474896	523.0489671718424	1	0
neg	523.1085981381013	523.1088596924004	0	2
neg	523.1255994395626	523.1258610023624	1	0
neg	523.14155500968	523.1418165804575	0	1
pos	523.150186914394	523.1504484894875	0	1
pos	523.1870702934797	523.1873318870148	0	1
pos	523.1873318870148	523.1875934806808	1	0
pos	523.1875934806808	523.1878550744775	0	1
pos	523.1881166684051	523.1883782624634	1	0
pos	523.2053821568204	523.2056437595115	1	0
pos	523.2061669652861	523.2064285683697	1	0
neg	523.2276188525325	523.227880466342	1	0
pos	523.3487600375798	523.3490217119598	0	1
neg	523.3649840965588	523.365245779051	1	0
neg	523.365245779051	523.3655074616739	0	1
pos	524.1026628806693	524.1029249320007	1	0
neg	524.1037110867813	524.1039731386369	1	0
pos	524.1291307268391	524.1293927914045	1	0
pos	524.1846913454744	524.1849534378201	0	1
pos	524.1972719258897	524.1975340245257	0	1
pos	524.1975340245257	524.1977961232927	0	1
pos	524.1977961232927	524.1980582221909	1	0
pos	524.2924223416089	524.2926844878201	1	0
neg	524.2997624850688	524.30002463495	1	1
neg	524.30002463495	524.3002867849623	1	0
neg	524.3002867849623	524.3005489351057	0	1
pos	524.3750048806969	524.3752670681994	1	0
pos	524.3802486556543	524.3805108457786	1	0
pos	524.6873631134894	524.687625457171	1	0
neg	524.687625457171	524.6878878009837	0	1
neg	525.0763004358565	525.0765629740068	1	0
neg	525.0765629740068	525.0768255122883	0	1
neg	525.105968077521	525.106230630505	0	2
pos	525.1217214889272	525.1219840497879	1	0
neg	525.15769354989	525.1579561287368	1	0
pos	525.1784376832959	525.1787002725148	1	1
